t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	-0.030488	4.407374	0.000000	0	0	-0.000000	0.462906	0.000000	0	0.000000	-0.030488	0.024258	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	4.407335	0.000000	0	0	-0.000000	0.477154	0.000000	0	0.000000	-0.030488	0.030729	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	4.407270	0.000000	0	0	-0.000000	0.484681	0.000000	0	0.000000	-0.030488	0.044480	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	4.407227	0.000000	0	0	-0.000000	0.498928	0.000000	0	0.000000	-0.030488	0.050951	0.000000	0	1000	1000	1000	1000
4	0	0	0.000000	4.407150	0.000000	0	0	-0.000000	0.513444	0.000000	0	0.000000	-0.030488	0.064432	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	4.407103	0.000000	0	0	-0.030488	0.527691	0.000000	0	0.000000	-0.030488	0.070903	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	4.407020	0.000000	0	0	-0.000000	0.542208	0.000000	0	0.000000	-0.030488	0.084384	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	4.406967	0.000000	0	0	-0.000000	0.556455	0.000000	0	0.000000	-0.030488	0.090855	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	4.406878	0.000000	0	0	-0.030488	0.570971	0.000000	0	0.000000	-0.030488	0.104336	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	4.406832	0.000000	0	0	-0.000000	0.578229	0.000000	0	0.000000	-0.030488	0.111076	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	4.406737	0.000000	0	0	-0.000000	0.592745	0.000000	0	0.000000	-0.030488	0.124557	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	4.406651	0.000000	0	0	-0.000000	0.600272	0.000000	0	0.000000	-0.030488	0.138308	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	4.406588	0.000000	0	0	-0.000000	0.614519	0.000000	0	0.000000	-0.030488	0.144779	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	4.406497	0.000000	0	0	-0.000000	0.622046	0.000000	0	0.000000	-0.030488	0.158529	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	4.406429	0.000000	0	0	-0.000000	0.636293	0.000000	0	0.000000	-0.030488	0.165000	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	4.406320	0.000000	0	0	-0.000000	0.650809	0.000000	0	0.000000	-0.030488	0.178480	0.000000	0	1000	1000	1000	1000
16	0	0	-0.030488	4.406223	0.000000	0	0	-0.000000	0.658335	0.000000	0	0.000000	-0.030488	0.192231	0.000000	0	1000	1000	1000	1000
17	0	0	-0.030488	4.406148	0.000000	0	0	-0.000000	0.672582	0.000000	0	0.000000	-0.030488	0.198701	0.000000	0	1000	1000	1000	1000
18	0	0	-0.030488	4.406047	0.000000	0	0	-0.000000	0.680109	0.000000	0	0.000000	-0.030488	0.212452	0.000000	0	1000	1000	1000	1000
19	0	0	-0.030488	4.405969	0.000000	0	0	-0.000000	0.694356	0.000000	0	0.000000	-0.030488	0.218922	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	4.405863	0.000000	0	0	-0.000000	0.701883	0.000000	0	0.000000	-0.030488	0.232672	0.000000	0	1000	1000	1000	1000
21	0	0	-0.030488	4.405781	0.000000	0	0	-0.000000	0.716129	0.000000	0	0.000000	-0.030488	0.239142	0.000000	0	1000	1000	1000	1000
22	0	0	-0.030488	4.405671	0.000000	0	0	-0.000000	0.723656	0.000000	0	0.000000	-0.030488	0.252892	0.000000	0	1000	1000	1000	1000
23	0	0	-0.030488	4.405584	0.000000	0	0	-0.000000	0.737903	0.000000	0	0.000000	-0.030488	0.259362	0.000000	0	1000	1000	1000	1000
24	0	0	-0.030488	4.405470	0.000000	0	0	-0.000000	0.745429	0.000000	0	0.000000	-0.030488	0.273112	0.000000	0	1000	1000	1000	1000
25	0	0	-0.030488	4.405379	0.000000	0	0	-0.000000	0.759676	0.000000	0	0.000000	-0.030488	0.279581	0.000000	0	1000	1000	1000	1000
