t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	-0.030488	4.302216	0.000000	0	0	-0.000000	0.539753	0.000000	0	0.000000	-0.030488	0.021782	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	4.302138	0.000000	0	0	-0.000000	0.554257	0.000000	0	0.000000	-0.030488	0.035273	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	4.302091	0.000000	0	0	-0.000000	0.568498	0.000000	0	0.000000	-0.030488	0.041756	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	4.309002	0.000000	0	0	-0.000000	0.576014	0.000000	0	0.000000	-0.030488	0.055476	0.000000	0	1000	1000	1000	1000
4	0	0	-0.030488	4.308915	0.000000	0	0	-0.000000	0.590518	0.000000	0	0.000000	-0.030488	0.068966	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	4.308870	0.000000	0	0	-0.000000	0.597770	0.000000	0	0.000000	-0.030488	0.075712	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	4.308815	0.000000	0	0	-0.000000	0.612012	0.000000	0	0.000000	-0.030488	0.082193	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	4.308730	0.000000	0	0	-0.000000	0.619527	0.000000	0	0.000000	-0.030488	0.095948	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	4.308670	0.000000	0	0	-0.000000	0.633768	0.000000	0	0.000000	-0.030488	0.102429	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	4.308568	0.000000	0	0	-0.000000	0.648272	0.000000	0	0.000000	-0.030488	0.115919	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	4.308476	0.000000	0	0	-0.000000	0.655787	0.000000	0	0.000000	-0.030488	0.129673	0.000000	0	1000	1000	1000	1000
11	0	0	0.000000	4.308369	0.000000	0	0	-0.000000	0.670291	0.000000	0	0.000000	-0.030488	0.143164	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	4.308313	0.000000	0	0	-0.000000	0.677543	0.000000	0	0.000000	-0.030488	0.149909	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	4.308200	0.000000	0	0	-0.000000	0.692046	0.000000	0	0.000000	-0.030488	0.163399	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	4.308099	0.000000	0	0	-0.000000	0.699561	0.000000	0	0.000000	-0.030488	0.177153	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	4.308023	0.000000	0	0	-0.000000	0.713802	0.000000	0	0.000000	-0.030488	0.183634	0.000000	0	1000	1000	1000	1000
