t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	0.000000	-1.449387	0.000000	0	0	-0.000000	-6.130162	0.000000	0	0.000000	-0.030488	-0.014937	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	-1.449027	0.000000	0	0	-0.000000	-6.123267	0.000000	0	0.000000	-0.030488	-0.007862	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	-1.448681	0.000000	0	0	-0.030488	-6.109388	0.000000	0	0.000000	-0.030488	-0.000698	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	-1.441339	0.000000	0	0	-0.000000	-6.102498	0.000000	0	0.000000	-0.030488	0.006749	0.000000	0	1000	1000	1000	1000
4	0	0	0.000000	-1.440996	0.000000	0	0	-0.000000	-6.088618	0.000000	0	0.000000	-0.030488	0.013913	0.000000	0	1000	1000	1000	1000
5	0	0	0.000000	-1.440640	0.000000	0	0	-0.000000	-6.081723	0.000000	0	0.000000	-0.030488	0.020988	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	-1.447268	0.000000	0	0	-0.000000	-6.074823	0.000000	0	0.000000	-0.030488	0.027693	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	-1.439930	0.000000	0	0	-0.000000	-6.067931	0.000000	0	0.000000	-0.030488	0.035140	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	-1.439946	0.000000	0	0	-0.000000	-6.060947	0.000000	0	0.000000	-0.030488	0.035228	0.000000	0	1000	1000	1000	1000
9	0	0	0.000000	-1.446224	0.000000	0	0	-0.000000	-6.047153	0.000000	0	0.000000	-0.030488	0.049012	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	-1.445872	0.000000	0	0	-0.000000	-6.040257	0.000000	0	0.000000	-0.030488	0.056088	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	-1.445434	0.000000	0	0	-0.000000	-6.032993	0.000000	0	0.000000	-0.030488	0.063158	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	-1.445084	0.000000	0	0	-0.000000	-6.026098	0.000000	0	0.000000	-0.030488	0.070234	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	-1.444735	0.000000	0	0	-0.000000	-6.019202	0.000000	0	0.000000	-0.030488	0.077310	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	-1.444019	0.000000	0	0	-0.000000	-6.012395	0.000000	0	0.000000	-0.030488	0.091373	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	-1.443672	0.000000	0	0	-0.000000	-6.005499	0.000000	0	0.000000	-0.030488	0.098449	0.000000	0	1000	1000	1000	1000
16	0	0	0.000000	-1.443712	0.000000	0	0	-0.000000	-5.991531	0.000000	0	0.000000	-0.030488	0.098629	0.000000	0	1000	1000	1000	1000
17	0	0	-0.030488	-1.443386	0.000000	0	0	-0.000000	-5.977651	0.000000	0	0.000000	-0.030488	0.105796	0.000000	0	1000	1000	1000	1000
18	0	0	-0.030488	-1.443042	0.000000	0	0	-0.000000	-5.970754	0.000000	0	0.000000	-0.030488	0.112873	0.000000	0	1000	1000	1000	1000
19	0	0	-0.030488	-1.435714	0.000000	0	0	-0.000000	-5.963855	0.000000	0	0.000000	-0.030488	0.120314	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	-1.435350	0.000000	0	0	-0.000000	-5.963943	0.000000	0	0.000000	-0.030488	0.127301	0.000000	0	1000	1000	1000	1000
