t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	-0.030488	5.301819	0.000000	0	0	-0.030488	-3.464577	0.000000	0	0.000000	-0.030488	0.189236	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	5.302295	0.000000	0	0	-0.030488	-3.442979	0.000000	0	0.000000	-0.030488	0.202292	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	5.302765	0.000000	0	0	-0.030488	-3.421380	0.000000	0	0.000000	-0.030488	0.215349	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	5.310005	0.000000	0	0	-0.030488	-3.400082	0.000000	0	0.000000	-0.030488	0.221601	0.000000	0	1000	1000	1000	1000
4	0	0	-0.030488	5.310465	0.000000	0	0	-0.030488	-3.378481	0.000000	0	0.000000	-0.030488	0.234658	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	5.317684	0.000000	0	0	-0.030488	-3.364165	0.000000	0	0.000000	-0.030488	0.241231	0.000000	0	1000	1000	1000	1000
6	0	0	0.000000	5.318136	0.000000	0	0	-0.030488	-3.342563	0.000000	0	0.000000	-0.030488	0.254287	0.000000	0	1000	1000	1000	1000
7	0	0	0.000000	5.325349	0.000000	0	0	-0.030488	-3.328245	0.000000	0	0.000000	-0.030488	0.260857	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	5.325792	0.000000	0	0	-0.030488	-3.306642	0.000000	0	0.000000	-0.030488	0.273913	0.000000	0	1000	1000	1000	1000
9	0	0	0.000000	5.326218	0.000000	0	0	-0.030488	-3.292023	0.000000	0	0.000000	-0.030488	0.287293	0.000000	0	1000	1000	1000	1000
10	0	0	0.000000	5.326450	0.000000	0	0	-0.030488	-3.270746	0.000000	0	0.000000	-0.030488	0.293334	0.000000	0	1000	1000	1000	1000
11	0	0	0.000000	5.326869	0.000000	0	0	-0.030488	-3.256126	0.000000	0	0.000000	-0.030488	0.306715	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	5.334277	0.000000	0	0	-0.030488	-3.234493	0.000000	0	0.000000	-0.030488	0.319971	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	5.334490	0.000000	0	0	-0.030488	-3.220199	0.000000	0	0.000000	-0.030488	0.326337	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	5.334905	0.000000	0	0	-0.030488	-3.198594	0.000000	0	0.000000	-0.030488	0.339393	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	5.342292	0.000000	0	0	-0.030488	-3.183942	0.000000	0	0.000000	-0.030488	0.352970	0.000000	0	1000	1000	1000	1000
16	0	0	-0.030488	5.342503	0.000000	0	0	-0.030488	-3.162663	0.000000	0	0.000000	-0.030488	0.359011	0.000000	0	1000	1000	1000	1000
17	0	0	-0.030488	5.342898	0.000000	0	0	-0.030488	-3.148041	0.000000	0	0.000000	-0.030488	0.372392	0.000000	0	1000	1000	1000	1000
18	0	0	-0.030488	5.349947	0.000000	0	0	-0.030488	-3.133196	0.000000	0	0.000000	-0.030488	0.385887	0.000000	0	1000	1000	1000	1000
19	0	0	-0.030488	5.350338	0.000000	0	0	-0.030488	-3.111590	0.000000	0	0.000000	-0.030488	0.398940	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	5.357517	0.000000	0	0	-0.030488	-3.097261	0.000000	0	0.000000	-0.030488	0.405495	0.000000	0	1000	1000	1000	1000
21	0	0	-0.030488	5.357898	0.000000	0	0	-0.030488	-3.075654	0.000000	0	0.000000	-0.030488	0.418548	0.000000	0	1000	1000	1000	1000
22	0	0	-0.030488	5.358087	0.000000	0	0	-0.030488	-3.061358	0.000000	0	0.000000	-0.030488	0.424912	0.000000	0	1000	1000	1000	1000
