t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	-0.030488	5.505225	0.000000	0	0	-0.030488	-3.324166	0.000000	0	0.000000	-0.060976	0.195742	0.000000	0	1000	1000	1000	1000
1	0	0	0.000000	5.505682	0.000000	0	0	-0.030488	-3.302543	0.000000	0	0.000000	-0.060976	0.208765	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	5.506118	0.000000	0	0	-0.030488	-3.287903	0.000000	0	0.000000	-0.060976	0.222125	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	5.513548	0.000000	0	0	-0.030488	-3.266256	0.000000	0	0.000000	-0.060976	0.235350	0.000000	0	1000	1000	1000	1000
4	0	0	-0.030488	5.513976	0.000000	0	0	-0.030488	-3.251615	0.000000	0	0.000000	-0.060976	0.248709	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	5.514413	0.000000	0	0	-0.030488	-3.229990	0.000000	0	0.000000	-0.060976	0.261733	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	5.514647	0.000000	0	0	-0.030488	-3.208703	0.000000	0	0.000000	-0.030488	0.267740	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	5.515063	0.000000	0	0	-0.030488	-3.194061	0.000000	0	0.000000	-0.030488	0.281101	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	5.515475	0.000000	0	0	-0.030488	-3.179419	0.000000	0	0.000000	-0.030488	0.294462	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	5.515699	0.000000	0	0	-0.030488	-3.158131	0.000000	0	0.000000	-0.030488	0.300470	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	5.522894	0.000000	0	0	-0.030488	-3.143799	0.000000	0	0.000000	-0.030488	0.307008	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	5.523104	0.000000	0	0	-0.030488	-3.129493	0.000000	0	0.000000	-0.030488	0.313352	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	5.523320	0.000000	0	0	-0.030488	-3.108204	0.000000	0	0.000000	-0.030488	0.319360	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	5.523715	0.000000	0	0	-0.030488	-3.093561	0.000000	0	0.000000	-0.030488	0.332722	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	5.523581	0.000000	0	0	-0.030488	-3.079068	0.000000	0	0.000000	-0.030488	0.338995	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	5.523969	0.000000	0	0	-0.030488	-3.064426	0.000000	0	0.000000	-0.030488	0.352354	0.000000	0	1000	1000	1000	1000
16	0	0	-0.030488	5.531151	0.000000	0	0	-0.030488	-3.050090	0.000000	0	0.000000	-0.030488	0.358886	0.000000	0	1000	1000	1000	1000
17	0	0	0.000000	5.531532	0.000000	0	0	-0.030488	-3.035446	0.000000	0	0.000000	-0.060976	0.372245	0.000000	0	1000	1000	1000	1000
18	0	0	0.000000	5.524927	0.000000	0	0	-0.030488	-3.020835	0.000000	0	0.000000	-0.030488	0.385418	0.000000	0	1000	1000	1000	1000
19	0	0	-0.030488	5.532288	0.000000	0	0	-0.030488	-2.999175	0.000000	0	0.000000	-0.060976	0.398628	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	5.532657	0.000000	0	0	-0.030488	-2.984531	0.000000	0	0.000000	-0.060976	0.411988	0.000000	0	1000	1000	1000	1000
21	0	0	-0.030488	5.533023	0.000000	0	0	-0.030488	-2.969886	0.000000	0	0.000000	-0.030488	0.425348	0.000000	0	1000	1000	1000	1000
22	0	0	0.000000	5.533385	0.000000	0	0	-0.030488	-2.955242	0.000000	0	0.000000	-0.060976	0.438708	0.000000	0	1000	1000	1000	1000
23	0	0	-0.030488	5.533564	0.000000	0	0	-0.030488	-2.940936	0.000000	0	0.000000	-0.060976	0.445053	0.000000	0	1000	1000	1000	1000
24	0	0	-0.030488	5.533919	0.000000	0	0	-0.030488	-2.926291	0.000000	0	0.000000	-0.060976	0.458414	0.000000	0	1000	1000	1000	1000
25	0	0	-0.030488	5.534271	0.000000	0	0	-0.030488	-2.911646	0.000000	0	0.000000	-0.030488	0.471775	0.000000	0	1000	1000	1000	1000
26	0	0	-0.030488	5.534619	0.000000	0	0	-0.030488	-2.897001	0.000000	0	0.000000	-0.030488	0.485137	0.000000	0	1000	1000	1000	1000
27	0	0	0.000000	5.534788	0.000000	0	0	-0.030488	-2.882694	0.000000	0	0.000000	-0.030488	0.491482	0.000000	0	1000	1000	1000	1000
28	0	0	-0.030488	5.535129	0.000000	0	0	-0.030488	-2.868049	0.000000	0	0.000000	-0.030488	0.504844	0.000000	0	1000	1000	1000	1000
29	0	0	-0.030488	5.535292	0.000000	0	0	-0.030488	-2.853742	0.000000	0	0.000000	-0.030488	0.511189	0.000000	0	1000	1000	1000	1000
30	0	0	-0.030488	5.535627	0.000000	0	0	-0.030488	-2.839097	0.000000	0	0.000000	-0.030488	0.524552	0.000000	0	1000	1000	1000	1000
31	0	0	-0.030488	5.535786	0.000000	0	0	-0.030488	-2.824790	0.000000	0	0.000000	-0.030488	0.530897	0.000000	0	1000	1000	1000	1000
32	0	0	-0.030488	5.535943	0.000000	0	0	-0.030488	-2.810483	0.000000	0	0.000000	-0.030488	0.537243	0.000000	0	1000	1000	1000	1000
33	0	0	-0.030488	5.536268	0.000000	0	0	-0.030488	-2.795837	0.000000	0	0.000000	-0.030488	0.550606	0.000000	0	1000	1000	1000	1000
34	0	0	-0.030488	5.536421	0.000000	0	0	-0.030488	-2.781529	0.000000	0	0.000000	-0.030488	0.556952	0.000000	0	1000	1000	1000	1000
35	0	0	-0.030488	5.536571	0.000000	0	0	-0.030488	-2.767222	0.000000	0	0.000000	-0.030488	0.563298	0.000000	0	1000	1000	1000	1000
36	0	0	-0.030488	5.536391	0.000000	0	0	-0.030488	-2.759732	0.000000	0	0.000000	-0.030488	0.569867	0.000000	0	1000	1000	1000	1000
37	0	0	-0.030488	5.543689	0.000000	0	0	-0.030488	-2.745044	0.000000	0	0.000000	-0.030488	0.583398	0.000000	0	1000	1000	1000	1000
38	0	0	-0.030488	5.544000	0.000000	0	0	-0.030488	-2.730397	0.000000	0	0.000000	-0.030488	0.596759	0.000000	0	1000	1000	1000	1000
39	0	0	0.000000	5.544141	0.000000	0	0	-0.030488	-2.716090	0.000000	0	0.000000	-0.030488	0.603103	0.000000	0	1000	1000	1000	1000
40	0	0	-0.030488	5.544445	0.000000	0	0	-0.030488	-2.701443	0.000000	0	0.000000	-0.060976	0.616464	0.000000	0	1000	1000	1000	1000
41	0	0	-0.030488	5.544745	0.000000	0	0	-0.030488	-2.686797	0.000000	0	0.000000	-0.060976	0.629826	0.000000	0	1000	1000	1000	1000
42	0	0	0.000000	5.545041	0.000000	0	0	-0.030488	-2.672150	0.000000	0	0.000000	-0.030488	0.643187	0.000000	0	1000	1000	1000	1000
43	0	0	-0.030488	5.545350	0.000000	0	0	-0.030488	-2.664487	0.000000	0	0.000000	-0.060976	0.656884	0.000000	0	1000	1000	1000	1000
44	0	0	-0.030488	5.545640	0.000000	0	0	-0.030488	-2.649840	0.000000	0	0.000000	-0.030488	0.670246	0.000000	0	1000	1000	1000	1000
45	0	0	-0.030488	5.545766	0.000000	0	0	-0.030488	-2.635533	0.000000	0	0.000000	-0.030488	0.676591	0.000000	0	1000	1000	1000	1000
46	0	0	-0.030488	5.546049	0.000000	0	0	-0.030488	-2.620886	0.000000	0	0.000000	-0.030488	0.689954	0.000000	0	1000	1000	1000	1000
47	0	0	-0.030488	5.546329	0.000000	0	0	-0.030488	-2.606238	0.000000	0	0.000000	-0.030488	0.703316	0.000000	0	1000	1000	1000	1000
48	0	0	-0.030488	5.546466	0.000000	0	0	-0.030488	-2.598915	0.000000	0	0.000000	-0.030488	0.709997	0.000000	0	1000	1000	1000	1000
49	0	0	-0.030488	5.553567	0.000000	0	0	-0.030488	-2.584556	0.000000	0	0.000000	-0.030488	0.716504	0.000000	0	1000	1000	1000	1000
50	0	0	-0.030488	5.553839	0.000000	0	0	-0.030488	-2.569907	0.000000	0	0.000000	-0.030488	0.729865	0.000000	0	1000	1000	1000	1000
51	0	0	0.000000	5.553973	0.000000	0	0	-0.030488	-2.562583	0.000000	0	0.000000	-0.030488	0.736546	0.000000	0	1000	1000	1000	1000
52	0	0	-0.030488	5.554083	0.000000	0	0	-0.030488	-2.548275	0.000000	0	0.000000	-0.030488	0.742892	0.000000	0	1000	1000	1000	1000
53	0	0	-0.030488	5.554346	0.000000	0	0	-0.030488	-2.533626	0.000000	0	0.000000	-0.030488	0.756254	0.000000	0	1000	1000	1000	1000
54	0	0	-0.030488	5.554475	0.000000	0	0	-0.030488	-2.526301	0.000000	0	0.000000	-0.030488	0.762935	0.000000	0	1000	1000	1000	1000
55	0	0	0.000000	5.554581	0.000000	0	0	-0.030488	-2.511993	0.000000	0	0.000000	-0.030488	0.769281	0.000000	0	1000	1000	1000	1000
56	0	0	-0.030488	5.554708	0.000000	0	0	-0.030488	-2.504668	0.000000	0	0.000000	-0.030488	0.775962	0.000000	0	1000	1000	1000	1000
57	0	0	-0.030488	5.554960	0.000000	0	0	-0.030488	-2.490020	0.000000	0	0.000000	-0.030488	0.789325	0.000000	0	1000	1000	1000	1000
58	0	0	-0.030488	5.555235	0.000000	0	0	-0.030488	-2.482355	0.000000	0	0.000000	-0.030488	0.803023	0.000000	0	1000	1000	1000	1000
59	0	0	-0.030488	5.555331	0.000000	0	0	-0.030488	-2.468046	0.000000	0	0.000000	-0.030488	0.809369	0.000000	0	1000	1000	1000	1000
60	0	0	0.000000	5.562587	0.000000	0	0	-0.030488	-2.460324	0.000000	0	0.000000	-0.030488	0.823221	0.000000	0	1000	1000	1000	1000
61	0	0	0.000000	5.555694	0.000000	0	0	-0.030488	-2.446073	0.000000	0	0.000000	-0.030488	0.829414	0.000000	0	1000	1000	1000	1000
