t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	999	0	0.000000	5.309680	0.000000	0	0	-0.030488	-3.498711	0.000000	0	0.000000	-0.030488	0.212157	0.000000	0	1000	1000	1000	1000
1	999	0	-0.030488	5.309927	0.000000	0	0	-0.030488	-3.484419	0.000000	0	0.000000	-0.030488	0.218523	0.000000	0	1000	1000	1000	1000
2	1000	0	0.000000	5.310400	0.000000	0	0	-0.030488	-3.462818	0.000000	0	0.000000	-0.030488	0.231581	0.000000	0	1000	1000	1000	1000
3	1000	0	0.000000	5.310853	0.000000	0	0	-0.030488	-3.448201	0.000000	0	0.000000	-0.060976	0.244963	0.000000	0	1000	1000	1000	1000
4	999	0	0.000000	5.310993	0.000000	0	0	-0.030488	-3.426391	0.000000	0	0.000000	-0.060976	0.257964	0.000000	0	1000	1000	1000	1000
5	999	0	-0.030488	5.311438	0.000000	0	0	-0.030488	-3.411774	0.000000	0	0.000000	-0.060976	0.271344	0.000000	0	1000	1000	1000	1000
6	1000	0	0.000000	5.304896	0.000000	0	0	-0.030488	-3.397184	0.000000	0	0.000000	-0.060976	0.284516	0.000000	0	1000	1000	1000	1000
7	1000	0	0.000000	5.305126	0.000000	0	0	-0.030488	-3.382892	0.000000	0	0.000000	-0.030488	0.290884	0.000000	0	1000	1000	1000	1000
8	999	0	0.000000	5.305571	0.000000	0	0	-0.030488	-3.361292	0.000000	0	0.000000	-0.060976	0.303943	0.000000	0	1000	1000	1000	1000
9	999	0	-0.030488	5.306000	0.000000	0	0	-0.030488	-3.346675	0.000000	0	0.000000	-0.030488	0.317325	0.000000	0	1000	1000	1000	1000
10	999	0	-0.030488	5.306427	0.000000	0	0	-0.030488	-3.332058	0.000000	0	0.000000	-0.030488	0.330708	0.000000	0	1000	1000	1000	1000
11	999	0	0.000000	5.306646	0.000000	0	0	-0.030488	-3.317766	0.000000	0	0.000000	-0.030488	0.337077	0.000000	0	1000	1000	1000	1000
12	1000	0	0.000000	5.307073	0.000000	0	0	-0.030488	-3.296165	0.000000	0	0.000000	-0.030488	0.350137	0.000000	0	1000	1000	1000	1000
13	1000	0	-0.030488	5.307287	0.000000	0	0	-0.030488	-3.281872	0.000000	0	0.000000	-0.030488	0.356507	0.000000	0	1000	1000	1000	1000
14	1000	0	0.000000	5.307700	0.000000	0	0	-0.030488	-3.267255	0.000000	0	0.000000	-0.030488	0.369890	0.000000	0	1000	1000	1000	1000
15	1000	0	0.000000	5.300925	0.000000	0	0	-0.030488	-3.252994	0.000000	0	0.000000	-0.030488	0.376060	0.000000	0	1000	1000	1000	1000
16	999	0	0.000000	5.301331	0.000000	0	0	-0.030488	-3.238376	0.000000	0	0.000000	-0.030488	0.389445	0.000000	0	1000	1000	1000	1000
17	999	0	0.000000	5.301535	0.000000	0	0	-0.030488	-3.224084	0.000000	0	0.000000	-0.030488	0.395816	0.000000	0	1000	1000	1000	1000
18	1000	0	-0.030488	5.301414	0.000000	0	0	-0.030488	-3.209596	0.000000	0	0.000000	-0.030488	0.402104	0.000000	0	1000	1000	1000	1000
19	1000	0	0.000000	5.301811	0.000000	0	0	-0.030488	-3.194980	0.000000	0	0.000000	-0.030488	0.415488	0.000000	0	1000	1000	1000	1000
20	999	0	0.000000	5.295025	0.000000	0	0	-0.030488	-3.180722	0.000000	0	0.000000	-0.060976	0.421662	0.000000	0	1000	1000	1000	1000
21	999	0	-0.030488	5.295414	0.000000	0	0	-0.030488	-3.166106	0.000000	0	0.000000	-0.030488	0.435047	0.000000	0	1000	1000	1000	1000
22	999	0	-0.030488	5.295800	0.000000	0	0	-0.030488	-3.151489	0.000000	0	0.000000	-0.060976	0.448432	0.000000	0	1000	1000	1000	1000
23	999	0	-0.030488	5.296182	0.000000	0	0	-0.030488	-3.136873	0.000000	0	0.000000	-0.030488	0.461818	0.000000	0	1000	1000	1000	1000
24	1000	0	0.000000	5.296371	0.000000	0	0	-0.030488	-3.122581	0.000000	0	0.000000	-0.030488	0.468190	0.000000	0	1000	1000	1000	1000
25	1000	0	-0.030488	5.296745	0.000000	0	0	-0.030488	-3.107964	0.000000	0	0.000000	-0.060976	0.481576	0.000000	0	1000	1000	1000	1000
26	1000	0	0.000000	5.297118	0.000000	0	0	-0.030488	-3.093347	0.000000	0	0.000000	-0.030488	0.494962	0.000000	0	1000	1000	1000	1000
27	1000	0	-0.030488	5.297486	0.000000	0	0	-0.030488	-3.078730	0.000000	0	0.000000	-0.060976	0.508349	0.000000	0	1000	1000	1000	1000
28	999	0	-0.030488	5.297850	0.000000	0	0	-0.030488	-3.064112	0.000000	0	0.000000	-0.030488	0.521736	0.000000	0	1000	1000	1000	1000
29	999	0	0.000000	5.291040	0.000000	0	0	-0.030488	-3.049860	0.000000	0	0.000000	-0.030488	0.527920	0.000000	0	1000	1000	1000	1000
30	999	0	-0.030488	5.291399	0.000000	0	0	-0.030488	-3.035243	0.000000	0	0.000000	-0.030488	0.541309	0.000000	0	1000	1000	1000	1000
31	999	0	-0.030488	5.291568	0.000000	0	0	-0.030488	-3.020951	0.000000	0	0.000000	-0.030488	0.547683	0.000000	0	1000	1000	1000	1000
32	999	0	-0.030488	5.291736	0.000000	0	0	-0.030488	-3.006657	0.000000	0	0.000000	-0.030488	0.554057	0.000000	0	1000	1000	1000	1000
33	999	0	-0.030488	5.291902	0.000000	0	0	-0.030488	-2.992364	0.000000	0	0.000000	-0.030488	0.560431	0.000000	0	1000	1000	1000	1000
34	999	0	0.000000	5.292247	0.000000	0	0	-0.030488	-2.977747	0.000000	0	0.000000	-0.030488	0.573820	0.000000	0	1000	1000	1000	1000
35	999	0	0.000000	5.292409	0.000000	0	0	-0.030488	-2.963454	0.000000	0	0.000000	-0.030488	0.580195	0.000000	0	1000	1000	1000	1000
36	999	0	-0.030488	5.292759	0.000000	0	0	-0.030488	-2.955821	0.000000	0	0.000000	-0.030488	0.593904	0.000000	0	1000	1000	1000	1000
