t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	1045	0	-0.030488	5.175927	0.000000	0	0	-0.030488	-3.744209	0.000000	0	0.000000	-0.030488	0.205096	0.000000	0	1000	1000	1000	1000
1	1045	0	-0.030488	5.176422	0.000000	0	0	-0.030488	-3.729609	0.000000	0	0.000000	-0.030488	0.218490	0.000000	0	1000	1000	1000	1000
2	1049	0	0.000000	5.176702	0.000000	0	0	-0.030488	-3.708342	0.000000	0	0.000000	-0.030488	0.224556	0.000000	0	1000	1000	1000	1000
3	1049	0	0.000000	5.177205	0.000000	0	0	-0.030488	-3.686757	0.000000	0	0.000000	-0.030488	0.237636	0.000000	0	1000	1000	1000	1000
4	1052	0	0.000000	5.177462	-39.000000	-19	0	-0.030488	-3.672473	23.400000	11	0.000000	-0.030488	0.244018	0.000000	0	1022	1044	1060	1082
5	1052	0	-0.030488	5.177733	-33.500000	-16	0	-0.030488	-3.651205	20.100000	10	0.000000	-0.030488	0.250085	0.000000	0	1026	1046	1058	1078
6	1055	0	0.000000	5.177907	-34.000000	-17	0	-0.030488	-3.629399	20.400000	10	0.000000	-0.030488	0.263107	0.000000	0	1028	1048	1062	1082
7	1055	0	0.000000	5.178378	-34.500000	-17	0	-0.030488	-3.614798	20.700001	10	0.000000	-0.030488	0.276501	0.000000	0	1028	1048	1062	1082
8	1056	0	0.000000	5.178625	-35.000000	-18	0	-0.030488	-3.600514	21.000000	10	0.000000	-0.030488	0.282883	0.000000	0	1028	1048	1064	1084
9	1056	0	-0.030488	5.172117	-35.500000	-18	0	-0.030488	-3.578958	21.299999	11	0.000000	-0.030488	0.295742	0.000000	0	1027	1049	1063	1085
10	1056	0	0.000000	5.172577	-36.000000	-18	0	-0.030488	-3.564357	21.600000	11	0.000000	-0.030488	0.309138	0.000000	0	1027	1049	1063	1085
11	1056	0	-0.030488	5.179810	-36.500000	-19	0	-0.030488	-3.543060	21.900000	11	0.000000	-0.030488	0.315425	0.000000	0	1026	1048	1064	1086
12	1055	0	-0.030488	5.180263	-37.000000	-19	0	-0.030488	-3.528458	22.200001	11	0.000000	-0.030488	0.328821	0.000000	0	1025	1047	1063	1085
13	1055	0	0.000000	5.180711	-37.500000	-19	0	-0.030488	-3.513857	22.500000	11	0.000000	-0.030488	0.342217	0.000000	0	1025	1047	1063	1085
14	1055	0	-0.030488	5.181156	-38.000000	-20	0	-0.030488	-3.499254	22.799999	12	0.000000	-0.060976	0.355613	0.000000	0	1023	1047	1063	1087
15	1055	0	-0.030488	5.181604	-38.500000	-20	0	-0.030488	-3.477669	23.100000	12	0.000000	-0.060976	0.368695	0.000000	0	1023	1047	1063	1087
