t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	-0.030488	3.623776	0.000000	0	0	-0.030488	-1.704445	0.000000	0	0.000000	-0.030488	0.096086	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	3.617001	0.000000	0	0	-0.030488	-1.690032	0.000000	0	0.000000	-0.060976	0.109548	0.000000	0	1000	1000	1000	1000
2	0	0	0.000000	3.617112	0.000000	0	0	-0.030488	-1.668842	0.000000	0	0.000000	-0.030488	0.115889	0.000000	0	1000	1000	1000	1000
3	0	0	0.000000	3.617319	0.000000	0	0	-0.030488	-1.654420	0.000000	0	0.000000	-0.030488	0.129456	0.000000	0	1000	1000	1000	1000
4	0	0	0.000000	3.617524	0.000000	0	0	-0.030488	-1.633008	0.000000	0	0.000000	-0.030488	0.142802	0.000000	0	1000	1000	1000	1000
5	0	0	0.000000	3.617624	0.000000	0	0	-0.030488	-1.618807	0.000000	0	0.000000	-0.030488	0.149365	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	3.617821	0.000000	0	0	-0.030488	-1.604385	0.000000	0	0.000000	-0.030488	0.162932	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	3.625002	0.000000	0	0	-0.030488	-1.582960	0.000000	0	0.000000	-0.030488	0.176375	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	3.625094	0.000000	0	0	-0.030488	-1.568758	0.000000	0	0.000000	-0.030488	0.182938	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	3.625280	0.000000	0	0	-0.030488	-1.554335	0.000000	0	0.000000	-0.030488	0.196504	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	3.625368	0.000000	0	0	-0.030488	-1.540133	0.000000	0	0.000000	-0.030488	0.203067	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	3.625543	0.000000	0	0	-0.030488	-1.518720	0.000000	0	0.000000	-0.030488	0.216413	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	3.625626	0.000000	0	0	-0.030488	-1.504518	0.000000	0	0.000000	-0.030488	0.222975	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	3.625797	0.000000	0	0	-0.030488	-1.490095	0.000000	0	0.000000	-0.030488	0.236542	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	3.625959	0.000000	0	0	-0.030488	-1.468681	0.000000	0	0.000000	-0.030488	0.249889	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	3.626034	0.000000	0	0	-0.030488	-1.454479	0.000000	0	0.000000	-0.030488	0.256452	0.000000	0	1000	1000	1000	1000
16	0	0	-0.030488	3.626195	0.000000	0	0	-0.030488	-1.440056	0.000000	0	0.000000	-0.060976	0.270019	0.000000	0	1000	1000	1000	1000
17	0	0	-0.030488	3.626353	0.000000	0	0	-0.030488	-1.425632	0.000000	0	0.000000	-0.030488	0.283587	0.000000	0	1000	1000	1000	1000
18	0	0	-0.030488	3.626506	0.000000	0	0	-0.030488	-1.411209	0.000000	0	0.000000	-0.030488	0.297155	0.000000	0	1000	1000	1000	1000
19	0	0	-0.030488	3.626646	0.000000	0	0	-0.030488	-1.389795	0.000000	0	0.000000	-0.030488	0.310502	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	3.626708	0.000000	0	0	-0.030488	-1.375592	0.000000	0	0.000000	-0.030488	0.317065	0.000000	0	1000	1000	1000	1000
21	0	0	0.000000	3.626851	0.000000	0	0	-0.030488	-1.361169	0.000000	0	0.000000	-0.030488	0.330633	0.000000	0	1000	1000	1000	1000
22	0	0	-0.030488	3.626989	0.000000	0	0	-0.030488	-1.346745	0.000000	0	0.000000	-0.030488	0.344201	0.000000	0	1000	1000	1000	1000
23	0	0	0.000000	3.627044	0.000000	0	0	-0.030488	-1.332542	0.000000	0	0.000000	-0.030488	0.350765	0.000000	0	1000	1000	1000	1000
24	0	0	0.000000	3.627177	0.000000	0	0	-0.030488	-1.318118	0.000000	0	0.000000	-0.030488	0.364333	0.000000	0	1000	1000	1000	1000
25	0	0	-0.030488	3.627306	0.000000	0	0	-0.030488	-1.303694	0.000000	0	0.000000	-0.030488	0.377902	0.000000	0	1000	1000	1000	1000
26	0	0	-0.030488	3.627353	0.000000	0	0	-0.030488	-1.289492	0.000000	0	0.000000	-0.030488	0.384466	0.000000	0	1000	1000	1000	1000
27	0	0	-0.030488	3.627459	0.000000	0	0	-0.030488	-1.268077	0.000000	0	0.000000	-0.030488	0.397814	0.000000	0	1000	1000	1000	1000
28	0	0	-0.030488	3.634586	0.000000	0	0	-0.030488	-1.260616	0.000000	0	0.000000	-0.030488	0.411681	0.000000	0	1000	1000	1000	1000
29	0	0	-0.030488	3.634626	0.000000	0	0	-0.030488	-1.246413	0.000000	0	0.000000	-0.030488	0.418244	0.000000	0	1000	1000	1000	1000
30	0	0	-0.030488	3.627674	0.000000	0	0	-0.030488	-1.232238	0.000000	0	0.000000	-0.030488	0.424731	0.000000	0	1000	1000	1000	1000
31	0	0	-0.030488	3.634774	0.000000	0	0	-0.030488	-1.217785	0.000000	0	0.000000	-0.030488	0.438375	0.000000	0	1000	1000	1000	1000
32	0	0	-0.030488	3.627890	0.000000	0	0	-0.030488	-1.203389	0.000000	0	0.000000	-0.030488	0.451869	0.000000	0	1000	1000	1000	1000
33	0	0	-0.030488	3.634911	0.000000	0	0	-0.030488	-1.189156	0.000000	0	0.000000	-0.030488	0.458506	0.000000	0	1000	1000	1000	1000
34	0	0	-0.030488	3.635012	0.000000	0	0	-0.030488	-1.174731	0.000000	0	0.000000	-0.030488	0.472075	0.000000	0	1000	1000	1000	1000
35	0	0	-0.030488	3.635108	0.000000	0	0	-0.030488	-1.160306	0.000000	0	0.000000	-0.030488	0.485643	0.000000	0	1000	1000	1000	1000
36	0	0	-0.030488	3.635201	0.000000	0	0	-0.030488	-1.145880	0.000000	0	0.000000	-0.030488	0.499211	0.000000	0	1000	1000	1000	1000
37	0	0	-0.030488	3.642212	0.000000	0	0	-0.030488	-1.131644	0.000000	0	0.000000	-0.030488	0.505845	0.000000	0	1000	1000	1000	1000
38	0	0	-0.030488	3.642299	0.000000	0	0	-0.030488	-1.117218	0.000000	0	0.000000	-0.030488	0.519412	0.000000	0	1000	1000	1000	1000
39	0	0	0.000000	3.642408	0.000000	0	0	-0.030488	-1.109782	0.000000	0	0.000000	-0.030488	0.533201	0.000000	0	1000	1000	1000	1000
40	0	0	0.000000	3.642422	0.000000	0	0	-0.030488	-1.095578	0.000000	0	0.000000	-0.030488	0.539764	0.000000	0	1000	1000	1000	1000
41	0	0	-0.030488	3.642499	0.000000	0	0	-0.030488	-1.081152	0.000000	0	0.000000	-0.030488	0.553331	0.000000	0	1000	1000	1000	1000
42	0	0	-0.030488	3.642508	0.000000	0	0	-0.030488	-1.066948	0.000000	0	0.000000	-0.030488	0.559894	0.000000	0	1000	1000	1000	1000
43	0	0	-0.030488	3.642579	0.000000	0	0	-0.030488	-1.052522	0.000000	0	0.000000	-0.030488	0.573462	0.000000	0	1000	1000	1000	1000
44	0	0	-0.030488	3.642647	0.000000	0	0	-0.030488	-1.038096	0.000000	0	0.000000	-0.030488	0.587029	0.000000	0	1000	1000	1000	1000
45	0	0	-0.030488	3.642679	0.000000	0	0	-0.030488	-1.030882	0.000000	0	0.000000	-0.030488	0.593813	0.000000	0	1000	1000	1000	1000
46	0	0	0.000000	3.642741	0.000000	0	0	-0.030488	-1.016456	0.000000	0	0.000000	-0.030488	0.607381	0.000000	0	1000	1000	1000	1000
47	0	0	-0.030488	3.642739	0.000000	0	0	-0.030488	-1.002252	0.000000	0	0.000000	-0.030488	0.613944	0.000000	0	1000	1000	1000	1000
48	0	0	-0.030488	3.642827	0.000000	0	0	-0.030488	-0.994816	0.000000	0	0.000000	-0.030488	0.627733	0.000000	0	1000	1000	1000	1000
49	0	0	-0.030488	3.642821	0.000000	0	0	-0.030488	-0.980613	0.000000	0	0.000000	-0.030488	0.634296	0.000000	0	1000	1000	1000	1000
50	0	0	-0.030488	3.642871	0.000000	0	0	-0.030488	-0.966186	0.000000	0	0.000000	-0.030488	0.647863	0.000000	0	1000	1000	1000	1000
51	0	0	-0.030488	3.642952	0.000000	0	0	-0.030488	-0.958750	0.000000	0	0.000000	-0.030488	0.661652	0.000000	0	1000	1000	1000	1000
52	0	0	0.000000	3.642939	0.000000	0	0	-0.030488	-0.944546	0.000000	0	0.000000	-0.030488	0.668215	0.000000	0	1000	1000	1000	1000
53	0	0	-0.030488	3.643016	0.000000	0	0	-0.030488	-0.937110	0.000000	0	0.000000	-0.030488	0.682004	0.000000	0	1000	1000	1000	1000
54	0	0	-0.030488	3.643054	0.000000	0	0	-0.030488	-0.922684	0.000000	0	0.000000	-0.030488	0.695572	0.000000	0	1000	1000	1000	1000
55	0	0	-0.030488	3.643035	0.000000	0	0	-0.030488	-0.908480	0.000000	0	0.000000	-0.030488	0.702135	0.000000	0	1000	1000	1000	1000
56	0	0	0.000000	3.643105	0.000000	0	0	-0.030488	-0.901044	0.000000	0	0.000000	-0.030488	0.715923	0.000000	0	1000	1000	1000	1000
57	0	0	-0.030488	3.643134	0.000000	0	0	-0.030488	-0.886617	0.000000	0	0.000000	-0.030488	0.729491	0.000000	0	1000	1000	1000	1000
58	0	0	-0.030488	3.643107	0.000000	0	0	-0.030488	-0.872413	0.000000	0	0.000000	-0.030488	0.736054	0.000000	0	1000	1000	1000	1000
59	0	0	0.000000	3.643130	0.000000	0	0	-0.030488	-0.857987	0.000000	0	0.000000	-0.030488	0.749622	0.000000	0	1000	1000	1000	1000
60	0	0	-0.030488	3.643140	0.000000	0	0	-0.030488	-0.850773	0.000000	0	0.000000	-0.030488	0.756406	0.000000	0	1000	1000	1000	1000
61	0	0	-0.030488	3.643157	0.000000	0	0	-0.030488	-0.836347	0.000000	0	0.000000	-0.030488	0.769973	0.000000	0	1000	1000	1000	1000
62	0	0	0.000000	3.643165	0.000000	0	0	-0.030488	-0.829133	0.000000	0	0.000000	-0.030488	0.776757	0.000000	0	1000	1000	1000	1000
63	0	0	-0.030488	3.643176	0.000000	0	0	-0.030488	-0.814707	0.000000	0	0.000000	-0.030488	0.790325	0.000000	0	1000	1000	1000	1000
64	0	0	-0.030488	3.643185	0.000000	0	0	-0.030488	-0.800280	0.000000	0	0.000000	-0.030488	0.803893	0.000000	0	1000	1000	1000	1000
65	0	0	-0.030488	3.643188	0.000000	0	0	-0.030488	-0.793067	0.000000	0	0.000000	-0.030488	0.810676	0.000000	0	1000	1000	1000	1000
66	0	0	-0.030488	3.643190	0.000000	0	0	-0.030488	-0.778640	0.000000	0	0.000000	-0.030488	0.824244	0.000000	0	1000	1000	1000	1000
67	0	0	0.000000	3.643236	0.000000	0	0	-0.030488	-0.771204	0.000000	0	0.000000	-0.030488	0.838032	0.000000	0	1000	1000	1000	1000
68	0	0	-0.030488	3.650178	0.000000	0	0	-0.030488	-0.756947	0.000000	0	0.000000	-0.030488	0.844643	0.000000	0	1000	1000	1000	1000
69	0	0	-0.030488	3.650220	0.000000	0	0	-0.030488	-0.749510	0.000000	0	0.000000	-0.030488	0.858431	0.000000	0	1000	1000	1000	1000
