t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	-0.030488	3.679854	0.000000	0	0	-0.030488	-1.641789	0.000000	0	0.000000	-0.030488	0.087914	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	3.680061	0.000000	0	0	-0.030488	-1.627359	0.000000	0	0.000000	-0.030488	0.101476	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	3.687258	0.000000	0	0	-0.030488	-1.605929	0.000000	0	0.000000	-0.030488	0.114911	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	3.687360	0.000000	0	0	-0.030488	-1.591723	0.000000	0	0.000000	-0.030488	0.121466	0.000000	0	1000	1000	1000	1000
4	0	0	-0.030488	3.687333	0.000000	0	0	-0.030488	-1.570207	0.000000	0	0.000000	-0.030488	0.134774	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	3.687430	0.000000	0	0	-0.030488	-1.556002	0.000000	0	0.000000	-0.030488	0.141328	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	3.687619	0.000000	0	0	-0.030488	-1.541572	0.000000	0	0.000000	-0.030488	0.154887	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	3.687712	0.000000	0	0	-0.030488	-1.527367	0.000000	0	0.000000	-0.030488	0.161442	0.000000	0	1000	1000	1000	1000
8	0	0	0.000000	3.687894	0.000000	0	0	-0.030488	-1.505947	0.000000	0	0.000000	-0.030488	0.174776	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	3.687981	0.000000	0	0	-0.030488	-1.491741	0.000000	0	0.000000	-0.030488	0.181331	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	3.688157	0.000000	0	0	-0.030488	-1.477311	0.000000	0	0.000000	-0.030488	0.194890	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	3.688329	0.000000	0	0	-0.030488	-1.462880	0.000000	0	0.000000	-0.030488	0.208449	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	3.688409	0.000000	0	0	-0.030488	-1.448675	0.000000	0	0.000000	-0.030488	0.215004	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	3.688569	0.000000	0	0	-0.030488	-1.427255	0.000000	0	0.000000	-0.030488	0.228339	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	3.695721	0.000000	0	0	-0.030488	-1.412806	0.000000	0	0.000000	-0.030488	0.241986	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	3.695878	0.000000	0	0	-0.030488	-1.398375	0.000000	0	0.000000	-0.030488	0.255545	0.000000	0	1000	1000	1000	1000
16	0	0	-0.030488	3.695948	0.000000	0	0	-0.030488	-1.384169	0.000000	0	0.000000	-0.030488	0.262100	0.000000	0	1000	1000	1000	1000
17	0	0	-0.030488	3.696099	0.000000	0	0	-0.030488	-1.369737	0.000000	0	0.000000	-0.030488	0.275659	0.000000	0	1000	1000	1000	1000
18	0	0	-0.030488	3.696247	0.000000	0	0	-0.030488	-1.355305	0.000000	0	0.000000	-0.030488	0.289218	0.000000	0	1000	1000	1000	1000
19	0	0	0.000000	3.696309	0.000000	0	0	-0.030488	-1.341099	0.000000	0	0.000000	-0.030488	0.295773	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	3.696450	0.000000	0	0	-0.030488	-1.326668	0.000000	0	0.000000	-0.030488	0.309333	0.000000	0	1000	1000	1000	1000
21	0	0	-0.030488	3.696587	0.000000	0	0	-0.030488	-1.312236	0.000000	0	0.000000	-0.030488	0.322892	0.000000	0	1000	1000	1000	1000
22	0	0	-0.030488	3.696642	0.000000	0	0	-0.030488	-1.298030	0.000000	0	0.000000	-0.030488	0.329447	0.000000	0	1000	1000	1000	1000
23	0	0	-0.030488	3.696773	0.000000	0	0	-0.030488	-1.283597	0.000000	0	0.000000	-0.030488	0.343007	0.000000	0	1000	1000	1000	1000
24	0	0	-0.030488	3.696901	0.000000	0	0	-0.030488	-1.269165	0.000000	0	0.000000	-0.030488	0.356567	0.000000	0	1000	1000	1000	1000
25	0	0	-0.030488	3.696949	0.000000	0	0	-0.030488	-1.254959	0.000000	0	0.000000	-0.030488	0.363122	0.000000	0	1000	1000	1000	1000
26	0	0	-0.030488	3.697070	0.000000	0	0	-0.030488	-1.240527	0.000000	0	0.000000	-0.030488	0.376682	0.000000	0	1000	1000	1000	1000
27	0	0	-0.030488	3.697187	0.000000	0	0	-0.030488	-1.226095	0.000000	0	0.000000	-0.030488	0.390243	0.000000	0	1000	1000	1000	1000
28	0	0	0.000000	3.697227	0.000000	0	0	-0.030488	-1.211888	0.000000	0	0.000000	-0.030488	0.396798	0.000000	0	1000	1000	1000	1000
29	0	0	-0.030488	3.697339	0.000000	0	0	-0.030488	-1.197456	0.000000	0	0.000000	-0.030488	0.410358	0.000000	0	1000	1000	1000	1000
30	0	0	-0.030488	3.697375	0.000000	0	0	-0.030488	-1.183250	0.000000	0	0.000000	-0.030488	0.416914	0.000000	0	1000	1000	1000	1000
31	0	0	0.000000	3.697479	0.000000	0	0	-0.030488	-1.168817	0.000000	0	0.000000	-0.030488	0.430474	0.000000	0	1000	1000	1000	1000
32	0	0	-0.030488	3.697510	0.000000	0	0	-0.030488	-1.154611	0.000000	0	0.000000	-0.030488	0.437030	0.000000	0	1000	1000	1000	1000
33	0	0	-0.030488	3.697609	0.000000	0	0	-0.030488	-1.140178	0.000000	0	0.000000	-0.030488	0.450590	0.000000	0	1000	1000	1000	1000
34	0	0	0.000000	3.697725	0.000000	0	0	-0.030488	-1.132736	0.000000	0	0.000000	-0.030488	0.464376	0.000000	0	1000	1000	1000	1000
35	0	0	-0.030488	3.697817	0.000000	0	0	-0.030488	-1.118303	0.000000	0	0.000000	-0.030488	0.477936	0.000000	0	1000	1000	1000	1000
36	0	0	-0.030488	3.697839	0.000000	0	0	-0.030488	-1.104097	0.000000	0	0.000000	-0.030488	0.484492	0.000000	0	1000	1000	1000	1000
37	0	0	-0.030488	3.697925	0.000000	0	0	-0.030488	-1.089664	0.000000	0	0.000000	-0.030488	0.498053	0.000000	0	1000	1000	1000	1000
38	0	0	-0.030488	3.698007	0.000000	0	0	-0.030488	-1.075231	0.000000	0	0.000000	-0.030488	0.511614	0.000000	0	1000	1000	1000	1000
39	0	0	-0.030488	3.698085	0.000000	0	0	-0.030488	-1.060799	0.000000	0	0.000000	-0.030488	0.525174	0.000000	0	1000	1000	1000	1000
