t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	0.000000	5.659259	0.000000	0	0	-0.030488	-3.295954	0.000000	0	0.000000	-0.030488	0.198898	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	5.659514	0.000000	0	0	-0.030488	-3.274660	0.000000	0	0.000000	-0.030488	0.204878	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	5.659948	0.000000	0	0	-0.030488	-3.260002	0.000000	0	0.000000	-0.030488	0.218221	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	5.660180	0.000000	0	0	-0.030488	-3.245690	0.000000	0	0.000000	-0.030488	0.224548	0.000000	0	1000	1000	1000	1000
4	0	0	-0.030488	5.667591	0.000000	0	0	-0.030488	-3.231008	0.000000	0	0.000000	-0.030488	0.238090	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	5.667818	0.000000	0	0	-0.030488	-3.216696	0.000000	0	0.000000	-0.030488	0.244416	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	5.668253	0.000000	0	0	-0.030488	-3.195053	0.000000	0	0.000000	-0.030488	0.257414	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	5.668475	0.000000	0	0	-0.030488	-3.180741	0.000000	0	0.000000	-0.030488	0.263740	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	5.668889	0.000000	0	0	-0.030488	-3.166081	0.000000	0	0.000000	-0.030488	0.277085	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	5.669299	0.000000	0	0	-0.030488	-3.151421	0.000000	0	0.000000	-0.030488	0.290429	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	5.669512	0.000000	0	0	-0.030488	-3.137108	0.000000	0	0.000000	-0.030488	0.296756	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	5.669916	0.000000	0	0	-0.030488	-3.122448	0.000000	0	0.000000	-0.060976	0.310101	0.000000	0	1000	1000	1000	1000
12	0	0	0.000000	5.670307	0.000000	0	0	-0.030488	-3.114771	0.000000	0	0.000000	-0.030488	0.323792	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	5.670704	0.000000	0	0	-0.030488	-3.100111	0.000000	0	0.000000	-0.030488	0.337138	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	5.670563	0.000000	0	0	-0.030488	-3.085610	0.000000	0	0.000000	-0.030488	0.343393	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	5.670953	0.000000	0	0	-0.030488	-3.070950	0.000000	0	0.000000	-0.030488	0.356737	0.000000	0	1000	1000	1000	1000
16	0	0	-0.030488	5.671340	0.000000	0	0	-0.030488	-3.056291	0.000000	0	0.000000	-0.030488	0.370081	0.000000	0	1000	1000	1000	1000
