t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	999	0	-0.030488	5.623852	0.000000	0	0	-0.030488	-3.255198	0.000000	0	0.000000	-0.030488	0.174772	0.000000	0	1000	1000	1000	1000
1	1000	0	-0.030488	5.624087	0.000000	0	0	-0.030488	-3.240888	0.000000	0	0.000000	-0.030488	0.181102	0.000000	0	1000	1000	1000	1000
2	1000	0	-0.030488	5.624322	0.000000	0	0	-0.030488	-3.226578	0.000000	0	0.000000	-0.030488	0.187432	0.000000	0	1000	1000	1000	1000
3	999	0	-0.030488	5.631556	0.000000	0	0	-0.030488	-3.205263	0.000000	0	0.000000	-0.030488	0.193616	0.000000	0	1000	1000	1000	1000
4	999	0	-0.030488	5.631785	0.000000	0	0	-0.030488	-3.190952	0.000000	0	0.000000	-0.030488	0.199946	0.000000	0	1000	1000	1000	1000
5	999	0	-0.030488	5.632208	0.000000	0	0	-0.030488	-3.176297	0.000000	0	0.000000	-0.030488	0.213294	0.000000	0	1000	1000	1000	1000
6	999	0	0.000000	5.632449	0.000000	0	0	-0.030488	-3.155002	0.000000	0	0.000000	-0.030488	0.219280	0.000000	0	1000	1000	1000	1000
7	1000	0	0.000000	5.632522	0.000000	0	0	-0.030488	-3.140156	0.000000	0	0.000000	-0.060976	0.232576	0.000000	0	1000	1000	1000	1000
8	1000	0	0.000000	5.632933	0.000000	0	0	-0.030488	-3.125501	0.000000	0	0.000000	-0.060976	0.245922	0.000000	0	1000	1000	1000	1000
9	1000	0	0.000000	5.633532	0.000000	0	0	-0.030488	-3.110502	0.000000	0	0.000000	-0.060976	0.266286	0.000000	0	1000	1000	1000	1000
10	1000	0	-0.030488	5.633935	0.000000	0	0	-0.030488	-3.095846	0.000000	0	0.000000	-0.060976	0.279633	0.000000	0	1000	1000	1000	1000
11	999	0	0.000000	5.634335	0.000000	0	0	-0.030488	-3.081191	0.000000	0	0.000000	-0.060976	0.292980	0.000000	0	1000	1000	1000	1000
12	999	0	0.000000	5.634918	0.000000	0	0	-0.030488	-3.066190	0.000000	0	0.000000	-0.060976	0.313345	0.000000	0	1000	1000	1000	1000
13	1000	0	0.000000	5.635309	0.000000	0	0	-0.030488	-3.051534	0.000000	0	0.000000	-0.060976	0.326693	0.000000	0	1000	1000	1000	1000
14	1000	0	-0.030488	5.635696	0.000000	0	0	-0.030488	-3.036879	0.000000	0	0.000000	-0.060976	0.340041	0.000000	0	1000	1000	1000	1000
15	999	0	-0.030488	5.636080	0.000000	0	0	-0.030488	-3.022222	0.000000	0	0.000000	-0.030488	0.353390	0.000000	0	1000	1000	1000	1000
16	999	0	-0.030488	5.636459	0.000000	0	0	-0.030488	-3.007566	0.000000	0	0.000000	-0.030488	0.366739	0.000000	0	1000	1000	1000	1000
17	999	0	0.000000	5.636652	0.000000	0	0	-0.030488	-2.993254	0.000000	0	0.000000	-0.030488	0.373070	0.000000	0	1000	1000	1000	1000
18	999	0	-0.030488	5.643826	0.000000	0	0	-0.030488	-2.978911	0.000000	0	0.000000	-0.030488	0.379586	0.000000	0	1000	1000	1000	1000
19	999	0	-0.030488	5.644197	0.000000	0	0	-0.030488	-2.964253	0.000000	0	0.000000	-0.030488	0.392935	0.000000	0	1000	1000	1000	1000
20	999	0	-0.030488	5.644383	0.000000	0	0	-0.030488	-2.949941	0.000000	0	0.000000	-0.030488	0.399266	0.000000	0	1000	1000	1000	1000
21	1000	0	-0.030488	5.644569	0.000000	0	0	-0.030488	-2.928645	0.000000	0	0.000000	-0.030488	0.405254	0.000000	0	1000	1000	1000	1000
22	1000	0	-0.030488	5.644752	0.000000	0	0	-0.030488	-2.914333	0.000000	0	0.000000	-0.030488	0.411585	0.000000	0	1000	1000	1000	1000
23	999	0	-0.030488	5.651915	0.000000	0	0	-0.030488	-2.899986	0.000000	0	0.000000	-0.030488	0.418096	0.000000	0	1000	1000	1000	1000
24	999	0	-0.030488	5.651916	0.000000	0	0	-0.030488	-2.893002	0.000000	0	0.000000	-0.030488	0.417752	0.000000	0	1000	1000	1000	1000
25	999	0	-0.030488	5.652269	0.000000	0	0	-0.030488	-2.878343	0.000000	0	0.000000	-0.030488	0.431101	0.000000	0	1000	1000	1000	1000
26	999	0	-0.030488	5.652444	0.000000	0	0	-0.030488	-2.864030	0.000000	0	0.000000	-0.030488	0.437432	0.000000	0	1000	1000	1000	1000
27	1000	0	-0.030488	5.652617	0.000000	0	0	-0.030488	-2.849717	0.000000	0	0.000000	-0.030488	0.443764	0.000000	0	1000	1000	1000	1000
28	1000	0	0.000000	5.652961	0.000000	0	0	-0.030488	-2.835057	0.000000	0	0.000000	-0.060976	0.457113	0.000000	0	1000	1000	1000	1000
29	1000	0	-0.030488	5.652956	0.000000	0	0	-0.030488	-2.820228	0.000000	0	0.000000	-0.060976	0.470368	0.000000	0	1000	1000	1000	1000
30	1000	0	-0.030488	5.653293	0.000000	0	0	-0.030488	-2.805569	0.000000	0	0.000000	-0.060976	0.483716	0.000000	0	1000	1000	1000	1000
31	999	0	0.000000	5.653795	0.000000	0	0	-0.030488	-2.790564	0.000000	0	0.000000	-0.060976	0.504081	0.000000	0	1000	1000	1000	1000
32	999	0	0.000000	5.654123	0.000000	0	0	-0.030488	-2.775905	0.000000	0	0.000000	-0.060976	0.517430	0.000000	0	1000	1000	1000	1000
33	1000	0	-0.030488	5.654447	0.000000	0	0	-0.030488	-2.761246	0.000000	0	0.000000	-0.060976	0.530778	0.000000	0	1000	1000	1000	1000
34	1000	0	0.000000	5.654777	0.000000	0	0	-0.030488	-2.753571	0.000000	0	0.000000	-0.060976	0.544470	0.000000	0	1000	1000	1000	1000
35	999	0	-0.030488	5.655094	0.000000	0	0	-0.030488	-2.738911	0.000000	0	0.000000	-0.060976	0.557819	0.000000	0	1000	1000	1000	1000
36	999	0	-0.030488	5.655408	0.000000	0	0	-0.030488	-2.724252	0.000000	0	0.000000	-0.030488	0.571168	0.000000	0	1000	1000	1000	1000
37	999	0	-0.030488	5.655563	0.000000	0	0	-0.030488	-2.716922	0.000000	0	0.000000	-0.030488	0.577843	0.000000	0	1000	1000	1000	1000
38	999	0	-0.030488	5.655871	0.000000	0	0	-0.030488	-2.702262	0.000000	0	0.000000	-0.030488	0.591193	0.000000	0	1000	1000	1000	1000
39	1000	0	-0.030488	5.662996	0.000000	0	0	-0.030488	-2.687904	0.000000	0	0.000000	-0.030488	0.597691	0.000000	0	1000	1000	1000	1000
40	1000	0	-0.030488	5.663147	0.000000	0	0	-0.030488	-2.680574	0.000000	0	0.000000	-0.030488	0.604366	0.000000	0	1000	1000	1000	1000
41	1000	0	-0.030488	5.663285	0.000000	0	0	-0.030488	-2.666260	0.000000	0	0.000000	-0.030488	0.610697	0.000000	0	1000	1000	1000	1000
42	1000	0	-0.030488	5.663420	0.000000	0	0	-0.030488	-2.651946	0.000000	0	0.000000	-0.030488	0.617029	0.000000	0	1000	1000	1000	1000
43	999	0	0.000000	5.663554	0.000000	0	0	-0.030488	-2.637632	0.000000	0	0.000000	-0.030488	0.623360	0.000000	0	1000	1000	1000	1000
44	999	0	-0.030488	5.663700	0.000000	0	0	-0.030488	-2.630301	0.000000	0	0.000000	-0.030488	0.630035	0.000000	0	1000	1000	1000	1000
45	999	0	0.000000	5.663830	0.000000	0	0	-0.030488	-2.615987	0.000000	0	0.000000	-0.030488	0.636367	0.000000	0	1000	1000	1000	1000
46	999	0	0.000000	5.664117	0.000000	0	0	-0.030488	-2.601326	0.000000	0	0.000000	-0.030488	0.649717	0.000000	0	1000	1000	1000	1000
47	1000	0	-0.030488	5.664243	0.000000	0	0	-0.030488	-2.587011	0.000000	0	0.000000	-0.030488	0.656049	0.000000	0	1000	1000	1000	1000
48	1000	0	-0.030488	5.664540	0.000000	0	0	-0.030488	-2.579334	0.000000	0	0.000000	-0.060976	0.669742	0.000000	0	1000	1000	1000	1000
