t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	0.000000	3.672814	0.000000	0	0	-0.030488	-0.375707	0.000000	0	0.000000	-0.030488	0.068173	0.000000	0	1000	1000	1000	1000
1	0	0	-0.030488	3.672851	0.000000	0	0	-0.030488	-0.354287	0.000000	0	0.000000	-0.030488	0.081510	0.000000	0	1000	1000	1000	1000
2	0	0	0.000000	3.665875	0.000000	0	0	-0.030488	-0.340087	0.000000	0	0.000000	-0.030488	0.088046	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	3.665903	0.000000	0	0	-0.030488	-0.318668	0.000000	0	0.000000	-0.030488	0.101384	0.000000	0	1000	1000	1000	1000
4	0	0	0.000000	3.665913	0.000000	0	0	-0.030488	-0.304462	0.000000	0	0.000000	-0.030488	0.107942	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	3.665939	0.000000	0	0	-0.030488	-0.290033	0.000000	0	0.000000	-0.030488	0.121504	0.000000	0	1000	1000	1000	1000
6	0	0	0.000000	3.658970	0.000000	0	0	-0.030488	-0.275613	0.000000	0	0.000000	-0.030488	0.135050	0.000000	0	1000	1000	1000	1000
7	0	0	0.000000	3.658981	0.000000	0	0	-0.030488	-0.254194	0.000000	0	0.000000	-0.030488	0.148390	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	3.658980	0.000000	0	0	-0.030488	-0.239989	0.000000	0	0.000000	-0.030488	0.154948	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	3.658982	0.000000	0	0	-0.030488	-0.218570	0.000000	0	0.000000	-0.030488	0.168289	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	3.658988	0.000000	0	0	-0.030488	-0.204142	0.000000	0	0.000000	-0.030488	0.181852	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	3.658991	0.000000	0	0	-0.030488	-0.189714	0.000000	0	0.000000	-0.060976	0.195416	0.000000	0	1000	1000	1000	1000
12	0	0	0.000000	3.658969	0.000000	0	0	-0.030488	-0.168518	0.000000	0	0.000000	-0.030488	0.201751	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	3.658964	0.000000	0	0	-0.030488	-0.154090	0.000000	0	0.000000	-0.030488	0.215314	0.000000	0	1000	1000	1000	1000
14	0	0	0.000000	3.651965	0.000000	0	0	-0.030488	-0.139676	0.000000	0	0.000000	-0.030488	0.228869	0.000000	0	1000	1000	1000	1000
15	0	0	0.000000	3.651939	0.000000	0	0	-0.030488	-0.118258	0.000000	0	0.000000	-0.030488	0.242210	0.000000	0	1000	1000	1000	1000
16	0	0	0.000000	3.651917	0.000000	0	0	-0.030488	-0.104053	0.000000	0	0.000000	-0.030488	0.248769	0.000000	0	1000	1000	1000	1000
17	0	0	-0.030488	3.651897	0.000000	0	0	-0.030488	-0.089626	0.000000	0	0.000000	-0.030488	0.262334	0.000000	0	1000	1000	1000	1000
18	0	0	0.000000	3.651875	0.000000	0	0	-0.030488	-0.075199	0.000000	0	0.000000	-0.030488	0.275898	0.000000	0	1000	1000	1000	1000
19	0	0	0.000000	3.644855	0.000000	0	0	-0.030488	-0.061011	0.000000	0	0.000000	-0.030488	0.282453	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	3.644825	0.000000	0	0	-0.030488	-0.046585	0.000000	0	0.000000	-0.030488	0.296018	0.000000	0	1000	1000	1000	1000
21	0	0	-0.030488	3.644793	0.000000	0	0	-0.030488	-0.032158	0.000000	0	0.000000	-0.030488	0.309583	0.000000	0	1000	1000	1000	1000
22	0	0	0.000000	3.644755	0.000000	0	0	-0.030488	-0.017954	0.000000	0	0.000000	-0.030488	0.316143	0.000000	0	1000	1000	1000	1000
23	0	0	-0.030488	3.644717	0.000000	0	0	-0.030488	-0.003528	0.000000	0	0.000000	-0.030488	0.329708	0.000000	0	1000	1000	1000	1000
24	0	0	-0.030488	3.644675	0.000000	0	0	-0.030488	0.010676	0.000000	0	0.000000	-0.030488	0.336268	0.000000	0	1000	1000	1000	1000
25	0	0	-0.030488	3.644629	0.000000	0	0	-0.030488	0.025103	0.000000	0	0.000000	-0.030488	0.349833	0.000000	0	1000	1000	1000	1000
26	0	0	0.000000	3.644580	0.000000	0	0	-0.030488	0.039529	0.000000	0	0.000000	-0.030488	0.363398	0.000000	0	1000	1000	1000	1000
27	0	0	-0.030488	3.644532	0.000000	0	0	-0.030488	0.053733	0.000000	0	0.000000	-0.030488	0.369957	0.000000	0	1000	1000	1000	1000
28	0	0	0.000000	3.637486	0.000000	0	0	-0.030488	0.068137	0.000000	0	0.000000	-0.030488	0.383526	0.000000	0	1000	1000	1000	1000
29	0	0	-0.030488	3.637426	0.000000	0	0	-0.030488	0.082562	0.000000	0	0.000000	-0.030488	0.397091	0.000000	0	1000	1000	1000	1000
30	0	0	0.000000	3.637370	0.000000	0	0	-0.030488	0.096766	0.000000	0	0.000000	-0.030488	0.403652	0.000000	0	1000	1000	1000	1000
31	0	0	-0.030488	3.637305	0.000000	0	0	-0.030488	0.111191	0.000000	0	0.000000	-0.030488	0.417217	0.000000	0	1000	1000	1000	1000
32	0	0	-0.030488	3.637236	0.000000	0	0	-0.030488	0.125617	0.000000	0	0.000000	-0.030488	0.430783	0.000000	0	1000	1000	1000	1000
33	0	0	-0.030488	3.637200	0.000000	0	0	-0.030488	0.132830	0.000000	0	0.000000	-0.030488	0.437565	0.000000	0	1000	1000	1000	1000
34	0	0	0.000000	3.637125	0.000000	0	0	-0.030488	0.147255	0.000000	0	0.000000	-0.030488	0.451130	0.000000	0	1000	1000	1000	1000
35	0	0	0.000000	3.637047	0.000000	0	0	-0.030488	0.161680	0.000000	0	0.000000	-0.030488	0.464696	0.000000	0	1000	1000	1000	1000
36	0	0	0.000000	3.629986	0.000000	0	0	-0.030488	0.175856	0.000000	0	0.000000	-0.030488	0.471265	0.000000	0	1000	1000	1000	1000
37	0	0	0.000000	3.629901	0.000000	0	0	-0.030488	0.190280	0.000000	0	0.000000	-0.030488	0.484831	0.000000	0	1000	1000	1000	1000
38	0	0	-0.030488	3.629826	0.000000	0	0	-0.030488	0.204483	0.000000	0	0.000000	-0.030488	0.491392	0.000000	0	1000	1000	1000	1000
39	0	0	-0.030488	3.629735	0.000000	0	0	-0.030488	0.218908	0.000000	0	0.000000	-0.030488	0.504958	0.000000	0	1000	1000	1000	1000
40	0	0	-0.030488	3.629673	0.000000	0	0	-0.030488	0.226341	0.000000	0	0.000000	-0.030488	0.518746	0.000000	0	1000	1000	1000	1000
41	0	0	-0.030488	3.629592	0.000000	0	0	-0.030488	0.240544	0.000000	0	0.000000	-0.030488	0.525306	0.000000	0	1000	1000	1000	1000
42	0	0	0.000000	3.629492	0.000000	0	0	-0.030488	0.254969	0.000000	0	0.000000	-0.030488	0.538872	0.000000	0	1000	1000	1000	1000
43	0	0	0.000000	3.629388	0.000000	0	0	-0.030488	0.269393	0.000000	0	0.000000	-0.030488	0.552437	0.000000	0	1000	1000	1000	1000
44	0	0	-0.030488	3.622309	0.000000	0	0	-0.030488	0.283562	0.000000	0	0.000000	-0.030488	0.559013	0.000000	0	1000	1000	1000	1000
45	0	0	0.000000	3.622235	0.000000	0	0	-0.030488	0.290995	0.000000	0	0.000000	-0.030488	0.572801	0.000000	0	1000	1000	1000	1000
46	0	0	-0.030488	3.622122	0.000000	0	0	-0.030488	0.305418	0.000000	0	0.000000	-0.030488	0.586367	0.000000	0	1000	1000	1000	1000
47	0	0	-0.030488	3.622027	0.000000	0	0	-0.030488	0.319621	0.000000	0	0.000000	-0.030488	0.592928	0.000000	0	1000	1000	1000	1000
48	0	0	0.000000	3.621908	0.000000	0	0	-0.030488	0.334044	0.000000	0	0.000000	-0.030488	0.606494	0.000000	0	1000	1000	1000	1000
49	0	0	0.000000	3.621825	0.000000	0	0	-0.030488	0.341477	0.000000	0	0.000000	-0.030488	0.620281	0.000000	0	1000	1000	1000	1000
50	0	0	-0.030488	3.621722	0.000000	0	0	-0.030488	0.355679	0.000000	0	0.000000	-0.030488	0.626842	0.000000	0	1000	1000	1000	1000
51	0	0	-0.030488	3.621635	0.000000	0	0	-0.030488	0.363111	0.000000	0	0.000000	-0.030488	0.640629	0.000000	0	1000	1000	1000	1000
52	0	0	0.000000	3.614513	0.000000	0	0	-0.030488	0.377496	0.000000	0	0.000000	-0.030488	0.654216	0.000000	0	1000	1000	1000	1000
53	0	0	0.000000	3.614404	0.000000	0	0	-0.030488	0.391697	0.000000	0	0.000000	-0.030488	0.660777	0.000000	0	1000	1000	1000	1000
54	0	0	0.000000	3.614267	0.000000	0	0	-0.030488	0.406120	0.000000	0	0.000000	-0.030488	0.674343	0.000000	0	1000	1000	1000	1000
55	0	0	-0.030488	3.614170	0.000000	0	0	-0.030488	0.413551	0.000000	0	0.000000	-0.030488	0.688130	0.000000	0	1000	1000	1000	1000
56	0	0	-0.030488	3.614054	0.000000	0	0	-0.030488	0.427753	0.000000	0	0.000000	-0.030488	0.694691	0.000000	0	1000	1000	1000	1000
57	0	0	-0.030488	3.613908	0.000000	0	0	-0.030488	0.442175	0.000000	0	0.000000	-0.030488	0.708257	0.000000	0	1000	1000	1000	1000
58	0	0	0.000000	3.613804	0.000000	0	0	-0.030488	0.449606	0.000000	0	0.000000	-0.030488	0.722044	0.000000	0	1000	1000	1000	1000
59	0	0	0.000000	3.613681	0.000000	0	0	-0.030488	0.463808	0.000000	0	0.000000	-0.030488	0.728604	0.000000	0	1000	1000	1000	1000
60	0	0	-0.030488	3.613574	0.000000	0	0	-0.030488	0.471239	0.000000	0	0.000000	-0.030488	0.742391	0.000000	0	1000	1000	1000	1000
61	0	0	0.000000	3.606425	0.000000	0	0	-0.030488	0.485616	0.000000	0	0.000000	-0.060976	0.755984	0.000000	0	1000	1000	1000	1000
62	0	0	0.000000	3.606313	0.000000	0	0	-0.030488	0.493046	0.000000	0	0.000000	-0.030488	0.769771	0.000000	0	1000	1000	1000	1000
63	0	0	-0.030488	3.606181	0.000000	0	0	-0.030488	0.507247	0.000000	0	0.000000	-0.030488	0.776332	0.000000	0	1000	1000	1000	1000
64	0	0	-0.030488	3.606064	0.000000	0	0	-0.030488	0.514677	0.000000	0	0.000000	-0.030488	0.790119	0.000000	0	1000	1000	1000	1000
65	0	0	0.000000	3.605894	0.000000	0	0	-0.030488	0.529098	0.000000	0	0.000000	-0.060976	0.803684	0.000000	0	1000	1000	1000	1000
66	0	0	0.000000	3.598817	0.000000	0	0	-0.030488	0.536260	0.000000	0	0.000000	-0.030488	0.810498	0.000000	0	1000	1000	1000	1000
67	0	0	-0.030488	3.598642	0.000000	0	0	-0.030488	0.550680	0.000000	0	0.000000	-0.030488	0.824063	0.000000	0	1000	1000	1000	1000
68	0	0	0.000000	3.598517	0.000000	0	0	-0.030488	0.558109	0.000000	0	0.000000	-0.030488	0.837850	0.000000	0	1000	1000	1000	1000
69	0	0	0.000000	3.598372	0.000000	0	0	-0.030488	0.572310	0.000000	0	0.000000	-0.030488	0.844411	0.000000	0	1000	1000	1000	1000
70	0	0	0.000000	3.598243	0.000000	0	0	-0.030488	0.579739	0.000000	0	0.000000	-0.030488	0.858197	0.000000	0	1000	1000	1000	1000
71	0	0	0.000000	3.591104	0.000000	0	0	-0.030488	0.593888	0.000000	0	0.000000	-0.030488	0.864793	0.000000	0	1000	1000	1000	1000
72	0	0	-0.030488	3.590970	0.000000	0	0	-0.030488	0.601316	0.000000	0	0.000000	-0.030488	0.878580	0.000000	0	1000	1000	1000	1000
73	0	0	0.000000	3.590778	0.000000	0	0	-0.030488	0.615735	0.000000	0	0.000000	-0.030488	0.892145	0.000000	0	1000	1000	1000	1000
74	0	0	0.000000	3.590621	0.000000	0	0	-0.030488	0.629934	0.000000	0	0.000000	-0.030488	0.898707	0.000000	0	1000	1000	1000	1000
75	0	0	0.000000	3.590482	0.000000	0	0	-0.030488	0.637362	0.000000	0	0.000000	-0.030488	0.912493	0.000000	0	1000	1000	1000	1000
76	0	0	-0.030488	3.590280	0.000000	0	0	-0.030488	0.651781	0.000000	0	0.000000	-0.030488	0.926057	0.000000	0	1000	1000	1000	1000
77	0	0	0.000000	3.590178	0.000000	0	0	-0.030488	0.658990	0.000000	0	0.000000	-0.030488	0.932840	0.000000	0	1000	1000	1000	1000
78	0	0	0.000000	3.590032	0.000000	0	0	-0.030488	0.666418	0.000000	0	0.000000	-0.030488	0.946625	0.000000	0	1000	1000	1000	1000
79	0	0	0.000000	3.589865	0.000000	0	0	-0.030488	0.680617	0.000000	0	0.000000	-0.030488	0.953186	0.000000	0	1000	1000	1000	1000
80	0	0	0.000000	3.582725	0.000000	0	0	-0.030488	0.687988	0.000000	0	0.000000	-0.060976	0.967012	0.000000	0	1000	1000	1000	1000
81	0	0	0.000000	3.582510	0.000000	0	0	-0.030488	0.702405	0.000000	0	0.000000	-0.030488	0.980577	0.000000	0	1000	1000	1000	1000
82	0	0	-0.030488	3.582355	0.000000	0	0	-0.030488	0.709832	0.000000	0	0.000000	-0.030488	0.994362	0.000000	0	1000	1000	1000	1000
83	0	0	0.000000	3.582245	0.000000	0	0	-0.030488	0.717040	0.000000	0	1.000000	-0.030488	1.001144	0.000000	0	1000	1000	1000	1000
84	0	0	0.000000	3.582021	0.000000	0	0	-0.030488	0.731457	0.000000	0	1.000000	-0.030488	1.014708	0.000000	0	1000	1000	1000	1000
