t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	1000	0	-0.030488	3.896456	0.000000	-1094124799	0	-0.000000	-1.781885	-0.392531	-1225538389	0	-0.030488	0.081800	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.896570	0.000000	-1094124799	0	-0.000000	-1.774657	-0.392531	-1225538389	0	-0.030488	0.088568	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.903678	0.000000	-1094124799	0	-0.000000	-1.760431	-0.392531	-1225538389	0	-0.030488	0.095206	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.903898	0.000000	-1094124799	0	-0.000000	-1.752965	-0.392531	-1225538389	0	-0.030488	0.108980	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.904009	0.000000	-1094124799	0	-0.000000	-1.745737	-0.392531	-1225538389	0	-0.030488	0.115748	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.904226	0.000000	-1094124799	0	-0.000000	-1.738270	-0.392531	-1225538389	0	-0.030488	0.129522	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.911324	0.000000	-1094124799	0	-0.000000	-1.731030	-0.392531	-1225538389	0	-0.030488	0.136396	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.911537	0.000000	-1094124799	0	-0.000000	-1.723563	-0.392531	-1225538389	0	-0.030488	0.150170	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.911748	0.000000	-1094124799	0	-0.000000	-1.716096	-0.392531	-1225538389	0	-0.030488	0.163944	-0.392531	0	1000	1000	1000	1000
0	1000	0	-0.030488	3.911958	0.000000	-1094124799	0	-0.000000	-1.701639	-0.392531	-1225538389	0	-0.030488	0.177479	-0.392531	0	1000	1000	1000	1000
